show_id,country_name
"s1","United States"
"s2","South Africa"
"s5","India"
"s8","United States"
"s8","Ghana"
"s8","Burkina Faso"
"s8","United Kingdom"
"s8","Germany"
"s8","Ethiopia"
"s9","United Kingdom"
"s10","United States"
"s13","Germany"
"s13","Czech Republic"
"s16","United States"
"s18","Mexico"
"s22","Turkey"
"s25","India"
"s26","Australia"
"s28","United States"
"s29","United States"
"s30","United States"
"s30","India"
"s30","France"
"s33","United Kingdom"
"s38","Finland"
"s39","China"
"s39","Canada"
"s39","United States"
"s40","India"
"s41","United States"
"s42","United States"
"s43","United States"
"s44","United States"
"s45","United States"
"s47","South Africa"
"s47","United States"
"s47","Japan"
"s49","United States"
"s50","Nigeria"
"s51","India"
"s52","Japan"
"s53","Japan"
"s54","Japan"
"s55","Japan"
"s56","United States"
"s57","Japan"
"s58","Japan"
"s59","Japan"
"s60","Japan"
"s61","Japan"
"s62","Japan"
"s63","Japan"
"s64","Japan"
"s66","United Kingdom"
"s67","India"
"s68","United States"
"s70","India"
"s73","United Kingdom"
"s74","Nigeria"
"s77","Japan"
"s82","United States"
"s83","United States"
"s85","Nigeria"
"s91","Spain"
"s91","United States"
"s92","France"
"s93","Belgium"
"s95","United Kingdom"
"s95","United States"
"s96","United States"
"s96","United Kingdom"
"s97","United States"
"s98","United States"
"s99","United Kingdom"
"s100","France"
"s100","United States"
"s102","United States"
"s105","South Korea"
"s106","India"
"s107","United States"
"s108","United States"
"s109","Australia"
"s110","Spain"
"s112","United States"
"s112","Singapore"
"s115","India"
"s116","United Kingdom"
"s116","Australia"
"s116","France"
"s117","India"
"s118","United Kingdom"
"s118","United States"
"s119","India"
"s121","Australia"
"s123","United Kingdom"
"s123","Australia"
"s123","France"
"s123","United States"
"s125","South Korea"
"s126","United States"
"s127","India"
"s128","United States"
"s128","Canada"
"s130","Germany"
"s130","United States"
"s132","United States"
"s134","South Africa"
"s134","United States"
"s135","United States"
"s135","Mexico"
"s136","United States"
"s136","Italy"
"s136","France"
"s136","Japan"
"s137","United States"
"s137","Italy"
"s137","Romania"
"s137","United Kingdom"
"s138","Australia"
"s138","United States"
"s139","United States"
"s140","United States"
"s141","Argentina"
"s141","Venezuela"
"s142","United States"
"s142","United Kingdom"
"s142","Canada"
"s143","Germany"
"s143","United States"
"s144","United States"
"s145","United States"
"s146","United States"
"s147","United States"
"s150","United States"
"s151","United States"
"s152","China"
"s152","Hong Kong"
"s153","United States"
"s154","Russia"
"s155","Japan"
"s156","United Kingdom"
"s156","United States"
"s157","United States"
"s158","Canada"
"s159","United States"
"s160","Hong Kong"
"s161","United States"
"s162","United States"
"s163","United States"
"s163","China"
"s163","Hong Kong"
"s164","United States"
"s165","United States"
"s167","Italy"
"s167","United States"
"s168","United States"
"s168","Canada"
"s169","United States"
"s170","United States"
"s171","United States"
"s172","United States"
"s173","United States"
"s173","Germany"
"s174","United States"
"s175","United States"
"s176","United States"
"s177","United States"
"s178","United Kingdom"
"s178","United States"
"s179","United States"
"s180","United States"
"s183","United States"
"s184","United States"
"s185","United States"
"s189","France"
"s191","India"
"s192","United Kingdom"
"s192","Canada"
"s192","United States"
"s193","India"
"s194","South Korea"
"s196","India"
"s199","Nigeria"
"s200","India"
"s201","India"
"s202","India"
"s203","India"
"s204","India"
"s205","India"
"s206","India"
"s207","India"
"s208","India"
"s209","India"
"s210","India"
"s211","India"
"s212","India"
"s213","Ireland"
"s216","India"
"s217","India"
"s218","India"
"s220","Japan"
"s221","United States"
"s228","United States"
"s229","United States"
"s229","United Kingdom"
"s230","United States"
"s232","United States"
"s233","United States"
"s234","United Kingdom"
"s242","United States"
"s248","United States"
"s252","United States"
"s254","India"
"s255","United States"
"s260","India"
"s260","Nepal"
"s264","United States"
"s265","United States"
"s266","Japan"
"s267","India"
"s268","New Zealand"
"s268","Australia"
"s268","France"
"s268","United States"
"s270","Italy"
"s271","Italy"
"s271","Brazil"
"s271","Greece"
"s272","United States"
"s273","United States"
"s274","France"
"s275","United States"
"s276","Argentina"
"s277","Spain"
"s278","Jordan"
"s279","Colombia"
"s280","United States"
"s280","Japan"
"s281","United States"
"s282","Nigeria"
"s283","Mexico"
"s284","Belgium"
"s284","United Kingdom"
"s285","United Kingdom"
"s285","United States"
"s286","Switzerland"
"s286","United Kingdom"
"s286","Australia"
"s287","United States"
"s289","Colombia"
"s290","South Korea"
"s291","United States"
"s292","Japan"
"s293","United Kingdom"
"s294","South Africa"
"s296","United States"
"s297","Israel"
"s297","United States"
"s298","India"
"s299","Nigeria"
"s300","France"
"s301","Canada"
"s301","United States"
"s302","India"
"s303","Brazil"
"s304","Argentina"
"s305","United Kingdom"
"s306","Argentina"
"s306","Spain"
"s307","Nigeria"
"s308","United States"
"s309","United States"
"s311","United States"
"s312","Mexico"
"s313","United States"
"s314","Taiwan"
"s315","United States"
"s316","United States"
"s316","Nigeria"
"s317","Taiwan"
"s318","United States"
"s320","Taiwan"
"s322","Taiwan"
"s323","Taiwan"
"s324","United States"
"s325","Italy"
"s326","United States"
"s327","United States"
"s328","United States"
"s328","United Kingdom"
"s329","Bulgaria"
"s329","United States"
"s330","United States"
"s330","Canada"
"s331","United States"
"s331","Canada"
"s333","United States"
"s333","Mexico"
"s334","United States"
"s335","United States"
"s336","United States"
"s338","United States"
"s338","Canada"
"s339","Japan"
"s341","United States"
"s341","United Kingdom"
"s342","United States"
"s343","United States"
"s344","United States"
"s345","United States"
"s346","United States"
"s346","Canada"
"s347","United States"
"s348","Spain"
"s348","United Kingdom"
